obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
other,Omega_Lambda,0,0,0,ApJ,Alcaniz,8,1999,49,http://adsabs.harvard.edu/abs/1999ApJ...521L..87A,astro-ph/9902298,
CMB,H_0,53,38,-28,ApJ,Andreani,3,1999,18,http://adsabs.harvard.edu/abs/1999ApJ...513...23A,,
lensing,Sigma_8,0.97,0.13,0,ApJ,Bacon,9,2003,127,http://adsabs.harvard.edu/abs/2003MNRAS.344..673B,astro-ph/0203134,Actually MNRAS?
lensing,Omega_M,0.395,0.25,0,ApJ,Bacon,9,2003,127,http://adsabs.harvard.edu/abs/2003MNRAS.344..673B,astro-ph/0203134,Actually MNRAS?
Clusters,Omega_M,0.34,0.13,0,ApJ,Bahcall,8,1997,236,http://adsabs.harvard.edu/abs/1997ApJ...485L..53B,astro-ph/9706018,
Clusters,Sigma_8,0.85,0.15,0,ApJ,Bahcall,8,1997,236,http://adsabs.harvard.edu/abs/1997ApJ...485L..53B,astro-ph/9706018,
Clusters,Omega_M,0.2,0.15,-0.05,ApJ,Bahcall,9,1998,310,http://adsabs.harvard.edu/abs/1998ApJ...504....1B,astro-ph/9803277,
Clusters,Sigma_8,1,0.25,-0.2,ApJ,Bahcall,9,1998,310,http://adsabs.harvard.edu/abs/1998ApJ...504....1B,astro-ph/9803277,
Clusters,Omega_M,0.16,0.05,0,ApJ,Bahcall,9,2000,86,http://adsabs.harvard.edu/abs/2000ApJ...541....1B,astro-ph/0002310,
Clusters,Omega_M,0.19,0.08,-0.07,ApJ,Bahcall,3,2003,114,http://adsabs.harvard.edu/abs/2003ApJ...585..182B,astro-ph/0205490,
Clusters,Sigma_8,0.9,0.3,-0.2,ApJ,Bahcall,3,2003,114,http://adsabs.harvard.edu/abs/2003ApJ...585..182B,astro-ph/0205490,
Clusters,Sigma_8,0.98,0.1,0,ApJ,Bahcall,5,2003,56,http://adsabs.harvard.edu/abs/2003ApJ...588L...1B,astro-ph/0212363,Origin UCP?
Clusters,Omega_M,0.17,0.05,0,ApJ,Bahcall,5,2003,56,http://adsabs.harvard.edu/abs/2003ApJ...588L...1B,astro-ph/0212363,Origin UCP?
CMB,Omega_K,0,0.15,-0.075,ApJ,Balbi,12,2000,341,http://adsabs.harvard.edu/abs/2000ApJ...545L...1B,,
CMB,Omega_M,0.4,0.2,-0.1,ApJ,Balbi,12,2000,341,http://adsabs.harvard.edu/abs/2000ApJ...545L...1B,,
CMB,n,1.08,0.05,0,ApJ,Balbi,12,2000,341,http://adsabs.harvard.edu/abs/2000ApJ...545L...1B,,
CMB,Omega_baryon,0.06,0.02,0,ApJ,Balbi,12,2000,341,http://adsabs.harvard.edu/abs/2000ApJ...545L...1B,,
CMB,w_0,-0.75,0.25,0,ApJ,Balbi,2,2001,43,http://adsabs.harvard.edu/abs/2001ApJ...547L..89B,astro-ph/0009432,UCP?
LSS,Sigma_8,0.73,0.02,0,ApJ,Basilikos,10,2006,12,,,Can’t find
Clusters,H_0,40,12,0,ApJ,Birkinshaw,10,1991,132,http://adsabs.harvard.edu/abs/1991ApJ...379..466B,,
other,H_0,74,8,0,ApJ,Blakeslee,12,1999,34,http://adsabs.harvard.edu/abs/1999ApJ...527L..73B,astro-ph/9910340,
