paper_id,kmeans_K50,hdbmerge_K50
704.0009,3,14
704.0017,3,14
704.0048,3,14
704.0059,3,14
704.008,47,14
704.0094,3,14
704.0128,1,14
704.0133,3,14
704.0138,3,14
704.0139,30,14
704.0155,11,14
704.0171,34,14
704.0175,3,14
704.0187,30,14
704.019,18,14
704.0192,3,14
704.0205,46,14
704.0209,3,14
704.0219,18,14
704.0222,6,14
704.0226,3,14
704.023,3,14
704.0234,3,14
704.0237,3,14
704.0238,3,14
704.0253,3,14
704.0256,3,14
704.0265,34,14
704.0267,3,14
704.0269,3,14
704.027,3,14
704.0276,29,14
704.0279,3,14
704.028,22,14
704.029,3,14
704.0297,3,14
704.0299,8,14
704.0303,42,14
704.0307,3,14
704.031,3,14
704.0312,41,14
704.0316,46,14
704.0344,3,14
704.0346,29,5
704.035,3,14
704.0351,34,14
704.0355,6,14
704.0356,18,14
704.0381,8,14
704.0387,3,14
704.0401,46,14
704.0421,3,14
704.0428,34,14
704.0441,3,14
704.0448,3,14
704.0452,3,14
704.0455,3,14
704.0458,3,14
704.046,3,14
704.0463,3,14
704.0467,3,14
704.047,22,14
704.0477,3,14
704.0478,18,14
704.0513,22,4
704.0518,3,14
704.0543,3,14
704.0547,46,14
704.055,34,14
704.0552,3,14
704.0574,3,14
704.0578,3,14
704.0579,46,14
704.0586,3,14
704.0603,3,14
704.0616,3,14
704.0617,3,14
704.0626,18,14
704.0637,3,14
704.0643,37,14
704.0645,34,14
704.0654,3,14
704.0655,3,14
704.0657,3,14
704.0666,12,14
704.0674,3,14
704.0676,3,14
704.0682,3,14
704.0706,3,14
704.0718,3,14
704.0735,3,14
704.074,3,14
704.0768,3,14
704.0774,46,14
704.0789,3,14
704.0791,3,14
704.0792,3,14
704.0794,7,14
704.0799,3,14
704.0806,37,14
704.0809,33,14
704.0812,3,14
704.0816,3,14
704.0819,45,14
704.0823,3,14
704.0826,18,14
704.0827,2,14
704.0835,3,14
704.0862,46,14
704.0871,34,14
704.0873,3,14
704.0877,3,14
704.0882,3,14
704.089,3,14
704.0899,3,14
704.0904,36,14
704.0905,18,14
704.0908,33,14
704.0911,37,14
704.0917,3,14
704.0928,12,14
704.0931,46,14
704.0939,3,14
704.0941,3,14
704.0944,22,14
704.0946,3,14
704.0947,3,14
704.095,3,14
704.0958,38,14
704.0961,3,14
704.0963,22,14
704.0973,9,14
704.0978,3,14
704.1025,16,14
704.1026,12,14
704.1045,3,14
704.1051,18,14
704.1055,1,14
704.1058,19,14
704.1063,45,14
704.1067,3,14
704.1094,3,14
704.1098,3,14
704.1107,3,14
704.1113,18,14
704.1114,3,14
704.1116,3,14
704.1118,3,14
704.1119,24,14
704.1122,16,14
704.1125,33,14
704.1127,18,14
704.1129,6,14
704.1131,3,14
704.1133,3,14
704.1135,12,14
704.1142,42,14
704.1151,3,14
704.1156,10,14
704.1159,3,14
704.1162,3,14
704.117,3,14
704.1176,18,14
704.1182,34,14
704.1197,34,14
704.1202,18,14
704.1204,21,14
704.121,3,14
704.1214,3,14
704.1215,3,14
704.122,47,14
704.1226,34,14
704.1228,3,14
704.1237,3,14
704.1245,3,14
704.125,34,14
704.1253,22,14
704.1265,46,14
704.1275,3,14
704.1281,6,14
704.1296,18,14
704.1297,18,14
704.13,0,14
704.1301,2,14
704.1302,3,14
704.1304,14,41
704.1306,34,14
704.1315,34,14
704.1318,43,14
704.1346,3,14
704.1364,3,14
704.1366,3,14
704.1374,3,14
704.1376,3,14
704.1387,3,14
704.1408,25,14
704.143,3,14
704.1436,3,14
704.1442,46,14
704.145,3,14
704.1458,34,14
704.1462,34,14
704.1481,6,14
704.1483,46,14
704.1496,3,14
704.1498,3,14
704.1502,46,14
704.1507,34,14
704.1509,3,14
704.1511,26,14
704.1521,18,14
704.1522,10,14
704.1558,3,14
704.1559,3,14
704.1562,46,14
704.1566,20,14
704.157,3,14
704.1573,11,14
704.1576,3,14
704.1578,3,14
704.1579,4,14
704.1583,3,14
704.1592,3,14
704.16,37,14
704.1603,3,14
704.1606,20,14
704.1609,2,14
704.1612,3,14
704.1614,46,14
704.1617,42,14
704.1619,47,14
704.163,3,14
704.1636,2,14
704.1641,3,14
704.1648,3,14
704.1652,19,14
704.1653,48,14
704.1654,21,14
704.166,13,14
704.1668,2,14
704.1671,10,14
704.1681,18,14
704.1684,3,14
704.1703,3,14
704.1706,3,14
704.1713,2,14
704.1715,3,14
704.1723,3,14
704.1729,15,14
704.1741,9,14
704.1743,3,14
704.1744,29,14
704.1749,34,14
704.175,34,14
704.1762,3,14
704.1766,33,14
704.1767,3,14
704.177,40,14
704.1773,3,14
704.181,3,14
704.1812,3,14
704.1813,34,14
704.1817,3,14
704.1825,18,14
704.1832,3,14
704.1841,3,14
704.1848,3,14
704.1858,4,14
704.186,46,14
704.1907,46,14
704.191,3,14
704.1927,3,14
704.1958,3,14
704.1963,37,14
704.1998,8,14
704.2002,26,14
704.2032,21,14
704.2051,3,14
704.2053,46,14
704.2057,3,14
704.2058,3,14
704.2064,12,14
704.2068,18,14
704.207,3,14
704.2073,3,14
704.2074,46,14
704.2075,34,14
704.2079,3,14
704.2085,3,14
704.2086,3,14
704.2095,41,14
704.21,10,14
704.212,43,14
704.2131,3,14
704.2134,30,14
704.2135,3,14
704.214,10,14
704.2141,22,14
704.2143,3,14
704.2145,22,4
704.2157,19,14
704.2159,3,14
704.2166,45,14
704.2174,18,14
704.2175,41,14
704.2177,37,14
704.2179,3,14
704.2187,34,14
704.2189,37,14
704.2192,3,14
704.2196,3,14
704.2204,3,14
704.2209,3,14
704.221,46,14
704.2217,3,14
704.2228,3,14
704.2235,2,14
704.2239,3,14
704.224,3,14
704.2249,21,14
704.2253,18,14
704.2255,3,14
704.227,2,14
704.2279,20,14
704.2285,3,14
704.2286,3,14
704.2293,18,14
704.2294,20,14
704.2301,42,14
704.2305,18,14
704.2309,45,14
704.2332,3,14
704.2335,3,14
704.2342,34,14
704.2345,3,14
704.235,8,14
704.2387,21,14
704.239,49,14
704.2407,3,14
704.2408,3,14
704.2413,3,14
704.2416,48,14
704.2417,3,14
704.242,3,14
704.2421,12,14
704.2422,3,14
704.2426,3,14
704.243,3,14
704.2436,3,14
704.2444,48,14
704.2445,34,14
704.2455,3,14
704.2459,46,14
704.2461,3,14
704.2469,22,4
704.2486,22,30
704.2494,30,14
704.2525,46,14
704.2532,3,14
704.2535,3,14
704.2543,16,14
704.2545,3,14
704.2549,3,14
704.2557,34,14
704.2568,20,14
704.2573,3,14
704.2577,47,14
704.2579,3,14
704.2589,1,14
704.2603,3,14
704.2605,36,14
704.2606,8,14
704.2607,48,14
704.2608,3,14
704.2612,3,14
704.262,45,14
704.2637,22,14
704.264,34,14
704.2641,34,14
704.2655,45,14
704.2657,20,14
704.2671,3,14
704.2689,49,14
704.269,24,14
704.2693,2,14
704.2698,39,14
704.2704,42,14
704.2705,3,14
704.2709,3,14
704.271,2,14
704.2718,43,14
704.2719,13,14
704.2722,3,14
704.2729,22,14
704.2737,39,14
704.2738,6,14
704.274,20,14
704.2753,8,14
704.2758,3,14
704.2783,36,14
704.2818,3,14
704.282,3,14
704.2821,34,14
704.2828,44,14
704.2836,34,14
704.2837,3,14
704.2839,3,14
704.2846,46,14
704.2882,30,14
704.2887,3,14
704.2888,46,14
704.2907,3,14
704.2923,3,14
704.293,18,14
704.2938,34,14
704.2942,3,14
704.2943,3,14
704.2949,8,14
704.2958,11,14
704.2962,3,14
704.297,46,14
704.2971,34,14
704.2982,3,14
704.2997,3,14
704.3001,3,14
704.3008,3,14
704.3009,3,14
704.3012,34,14
704.3026,3,14
704.303,3,14
704.3034,3,14
704.3038,39,14
704.3043,36,14
704.3053,30,14
704.3062,34,14
704.3064,7,14
704.3065,3,14
704.3068,3,14
704.3069,18,14
704.3073,29,14
704.3076,36,14
704.3078,3,14
704.3088,3,14
704.3097,3,14
704.3104,18,14
704.3106,3,14
704.3108,3,14
704.3128,3,14
704.3131,25,14
704.3135,26,14
704.3149,3,14
704.315,3,14
704.3158,8,14
704.3159,3,14
704.3166,18,14
704.3168,36,14
704.3171,3,14
704.3187,3,14
704.3188,2,14
704.3191,34,14
704.3192,34,14
704.32,3,14
704.3202,34,14
704.3203,3,14
704.3206,26,14
704.3224,3,14
704.3229,3,14
704.3235,18,14
704.3236,3,14
704.3247,10,14
704.3252,9,14
704.3266,18,14
704.3267,25,14
704.3269,18,14
704.3285,12,14
704.3315,45,14
704.3328,47,14
704.333,12,18
704.3331,3,14
704.3336,3,14
704.3337,20,14
704.336,3,14
704.3361,3,14
704.3369,3,14
704.3385,3,14
704.3394,3,14
704.3414,12,14
704.3418,34,14
704.3431,3,14
704.3437,3,14
704.3438,39,14
704.3441,3,14
704.3454,3,14
704.3455,4,14
704.3458,3,14
704.3467,3,14
704.3472,36,14
704.3475,3,14
704.3477,47,14
704.3488,3,14
704.349,46,14
704.3507,3,14
704.3508,3,14
704.3517,3,14
704.3528,3,14
704.3533,34,14
704.3539,3,14
704.3543,3,14
704.3545,3,14
704.3552,10,14
704.3554,3,14
704.3557,34,14
704.3567,6,14
704.3572,1,14
704.3581,3,14
704.3583,46,14
704.3587,3,14
704.3589,3,14
704.3592,3,14
704.3597,25,14
704.3601,18,14
704.3604,46,14
704.3609,3,14
704.3611,23,11
704.3614,22,14
704.3617,3,14
704.3629,3,14
704.3637,34,14
704.3654,3,14
704.3657,3,14
704.3675,47,14
704.3681,3,14
704.3682,3,14
704.3685,26,14
704.3704,28,14
704.3718,3,14
704.3721,3,14
704.3722,3,14
704.3736,3,14
704.3739,3,14
704.3772,3,14
704.38,3,14
704.3805,22,5
704.3831,3,14
704.3832,3,14
704.3834,3,14
704.3836,3,14
704.3842,3,14
704.3851,36,14
704.3856,3,14
704.3883,34,14
704.3884,20,14
704.3895,34,14
704.39,3,14
704.3908,3,14
704.391,3,14
704.3915,18,14
704.3919,3,14
704.3925,24,14
704.3932,3,14
704.3936,8,14
704.3941,4,14
704.3943,3,14
704.3944,6,14
704.3956,26,14
704.3979,3,14
704.3991,3,14
705.0002,42,14
705.0003,3,14
705.0004,3,14
705.0009,22,14
705.0041,29,14
705.0048,3,14
705.0057,3,14
705.0062,3,14
705.0063,3,14
705.0066,34,14
705.0094,29,14
705.0096,3,14
705.0119,46,14
705.0126,3,14
705.0127,3,14
705.0145,3,14
705.0146,3,14
705.0154,18,14
705.0155,3,14
705.0163,25,14
705.0164,8,14
705.0165,8,14
705.0166,17,14
705.0185,3,14
705.0215,17,14
705.0217,3,14
705.0232,8,14
705.0234,3,14
705.0238,3,14
705.024,3,14
705.0246,3,14
705.0249,3,14
705.0266,3,14
705.0272,3,14
705.0273,37,14
705.0298,2,14
705.0305,3,14
705.0328,3,14
705.033,3,14
705.0343,3,14
705.0352,3,14
705.0354,41,14
705.0356,3,14
705.0357,3,14
705.0358,25,14
705.0359,3,14
705.0363,3,14
705.0367,21,14
705.0368,19,14
705.038,22,47
705.0387,3,14
705.0396,8,14
705.0402,34,14
705.0421,3,14
705.0429,36,14
705.0433,3,14
705.0438,3,14
705.044,12,7
705.0447,3,14
705.0448,26,14
705.0461,3,14
705.0464,3,14
705.0471,22,15
705.0481,3,14
705.0493,19,14
705.0494,3,14
705.0512,3,14
705.053,3,14
705.0531,3,14
705.0533,36,14
705.0541,3,14
705.0547,3,14
705.0574,13,14
705.0583,3,14
705.059,2,14
705.0598,3,14
705.0604,3,14
705.0605,34,14
705.0607,31,14
705.0615,3,14
705.0639,11,14
705.0642,3,14
705.0645,3,14
705.0647,3,14
705.066,6,14
705.0682,18,14
705.0685,1,14
705.0696,3,14
705.0701,3,14
705.0702,34,14
705.0706,3,14
705.0707,47,14
705.0711,3,14
705.0716,19,14
705.0726,3,14
705.0748,3,14
705.0763,3,14
705.0769,40,14
705.078,3,14
705.0793,9,14
705.081,36,14
705.0831,3,14
705.0851,3,14
705.0877,18,14
705.0878,3,14
705.0885,45,14
705.0887,3,14
705.0889,19,14
705.0894,3,14
705.0905,2,14
705.091,3,14
705.0913,34,14
705.0918,18,14
705.0919,34,14
705.0922,2,14
705.0935,3,14
705.094,35,14
705.0963,3,14
705.0966,34,14
705.0977,34,14
705.0978,14,14
705.0979,41,14
705.0987,3,14
705.0988,3,14
705.1006,12,14
705.1007,3,14
705.1011,3,14
705.1032,12,14
705.1034,1,14
705.1046,3,14
705.1049,3,14
705.106,48,14
705.1061,3,14
705.1088,3,14
705.1097,3,14
705.1125,3,14
705.1132,3,14
705.1135,3,14
705.1141,26,14
705.1144,3,14
705.1145,3,14
705.1153,34,14
705.116,22,14
705.1165,3,14
705.117,3,14
705.1186,3,14
705.1189,3,14
705.1206,3,14
705.1211,12,14
705.1242,3,14
705.1246,18,14
705.1249,3,14
705.1267,39,14
705.1278,3,14
705.1306,6,14
705.1311,36,14
705.1312,3,14
705.1315,3,14
705.1319,34,14
705.1323,46,14
705.1325,3,14
705.1339,34,14
705.1353,3,14
705.1362,3,14
705.1365,4,14
705.1373,3,14
705.1378,47,14
705.1387,3,14
705.1417,34,14
705.1427,3,14
705.1437,17,14
705.1439,21,14
705.1441,32,13
705.1444,3,14
705.1464,3,14
705.1471,34,14
705.1478,18,14
705.1494,37,14
705.1508,3,14
705.1513,3,14
705.1524,3,14
705.1526,3,14
705.1534,3,14
705.1537,3,14
705.1539,49,14
705.1544,34,14
705.1545,18,14
705.1554,3,14
705.1558,3,14
705.158,3,14
705.1589,3,14
705.1592,18,14
705.1605,3,14
705.1615,3,14
705.1628,38,14
705.1633,3,14
705.1636,2,14
705.1637,42,14
705.165,3,14
705.1677,34,14
705.1705,34,14
705.1718,21,14
705.172,25,14
705.1721,10,14
705.1722,13,14
705.1723,3,14
705.1726,2,14
705.1742,26,14
705.1747,30,14
705.1752,3,14
705.1755,3,14
705.1756,3,14
705.1758,3,14
705.1771,3,14
705.1779,3,14
705.178,3,14
705.1781,18,14
705.1795,3,14
705.1796,3,14
705.181,3,14
705.1826,3,14
705.1843,36,14
705.1846,12,14
705.1856,3,14
705.1858,3,14
705.1861,3,14
705.1862,3,14
705.1866,3,14
705.1873,34,14
705.1891,3,14
705.1895,8,14
705.1901,26,14
705.1906,8,14
705.1921,48,14
705.1938,22,14
705.1968,3,14
705.1972,36,14
705.1973,9,14
705.1989,16,14
705.1994,3,14
705.2004,34,14
705.2017,43,14
705.2018,3,14
705.2021,3,14
705.2031,30,14
705.2036,3,14
705.2039,3,14
705.204,3,14
705.2041,3,14
705.2047,22,14
705.2054,34,14
705.206,34,14
705.2066,3,14
705.2072,3,14
