paper_id,hdbscan_label
704.0009,1040
704.0017,2146
704.0048,2202
704.0059,-1
704.008,1022
704.0094,-1
704.0128,-1
704.0133,-1
704.0138,1565
704.0139,554
704.0155,386
704.0171,1685
704.0175,-1
704.0187,449
704.019,-1
704.0192,-1
704.0205,-1
704.0209,788
704.0219,1998
704.0222,92
704.0226,1565
704.023,1687
704.0234,1565
704.0237,1448
704.0238,2253
704.0253,1326
704.0256,1115
704.0265,1208
704.0267,1199
704.0269,-1
704.027,-1
704.0276,-1
704.0279,2246
704.028,-1
704.029,-1
704.0297,996
704.0299,-1
704.0303,-1
704.0307,1565
704.031,2242
704.0312,-1
704.0316,-1
704.0344,1565
704.0346,-1
704.035,-1
704.0351,-1
704.0355,-1
704.0356,1815
704.0381,481
704.0387,-1
704.0401,1526
704.0421,1565
704.0428,1672
704.0441,2370
704.0448,726
704.0452,-1
704.0455,1565
704.0458,-1
704.046,1565
704.0463,1269
704.0467,1565
704.047,243
704.0477,469
704.0478,1806
704.0513,-1
704.0518,1879
704.0543,706
704.0547,-1
704.055,-1
704.0552,1565
704.0574,1565
704.0578,1565
704.0579,-1
704.0586,789
704.0603,1565
704.0616,1565
704.0617,-1
704.0626,1953
704.0637,-1
704.0643,-1
704.0645,1053
704.0654,-1
704.0655,1565
704.0657,-1
704.0666,131
704.0674,1565
704.0676,1950
704.0682,-1
704.0706,-1
704.0718,-1
704.0735,-1
704.074,1565
704.0768,1565
704.0774,630
704.0789,1681
704.0791,1386
704.0792,1565
704.0794,-1
704.0799,-1
704.0806,-1
704.0809,-1
704.0812,-1
704.0816,1565
704.0819,1241
704.0823,987
704.0826,1424
704.0827,347
704.0835,1569
704.0862,630
704.0871,-1
704.0873,1565
704.0877,616
704.0882,1565
704.089,1077
704.0899,1703
704.0904,739
704.0905,-1
704.0908,437
704.0911,-1
704.0917,-1
704.0928,131
704.0931,630
704.0939,-1
704.0941,1565
704.0944,152
704.0946,-1
704.0947,1848
704.095,-1
704.0958,-1
704.0961,-1
704.0963,313
704.0973,1618
704.0978,-1
704.1025,-1
704.1026,131
704.1045,1565
704.1051,-1
704.1055,-1
704.1058,195
704.1063,-1
704.1067,1265
704.1094,2157
704.1098,1035
704.1107,-1
704.1113,-1
704.1114,1565
704.1116,1558
704.1118,1577
704.1119,206
704.1122,-1
704.1125,-1
704.1127,1499
704.1129,92
704.1131,-1
704.1133,2313
704.1135,131
704.1142,-1
704.1151,-1
704.1156,-1
704.1159,-1
704.1162,1000
704.117,-1
704.1176,-1
704.1182,1712
704.1197,-1
704.1202,-1
704.1204,103
704.121,1256
704.1214,1565
704.1215,1565
704.122,-1
704.1226,1538
704.1228,1565
704.1237,1727
704.1245,-1
704.125,633
704.1253,25
704.1265,-1
704.1275,1565
704.1281,112
704.1296,1886
704.1297,1888
704.13,-1
704.1301,782
704.1302,1608
704.1304,224
704.1306,-1
