adapter_type,reduction,lr,mask_prob,batch_size,grad_accum,base_model,window_tokens,stride,max_seq_length,epochs,status,pos,rand,gap
pfeiffer,8,0.0001,0.5,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9631719589233398,0.7705997228622437,0.1925722360610962
pfeiffer,12,5e-05,0.0,64,1,adsabs/astroBERT,180,30,256,4,ok,0.9546920657157898,0.740730881690979,0.2139611840248108
pfeiffer,16,5e-05,0.0,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9559698700904846,0.7419881224632263,0.2139817476272583
houlsby,8,5e-05,0.5,64,1,adsabs/astroBERT,180,30,256,4,ok,0.95926433801651,0.7921324372291565,0.16713190078735352
houlsby,12,5e-05,0.5,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9582265019416809,0.7965379357337952,0.16168856620788574
houlsby,8,5e-05,0.0,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9576046466827393,0.74397873878479,0.21362590789794922
pfeiffer,16,5e-05,0.5,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9568290114402771,0.7850193977355957,0.1718096137046814
houlsby,8,0.0001,0.0,64,1,adsabs/astroBERT,180,30,256,4,ok,0.9636792540550232,0.7426989078521729,0.22098034620285034
pfeiffer,12,0.0001,0.0,64,2,adsabs/astroBERT,180,30,256,4,ok,0.9618057012557983,0.740738034248352,0.2210676670074463
pfeiffer,12,0.0001,0.5,64,1,adsabs/astroBERT,180,30,256,4,ok,0.9622078537940979,0.7665014266967773,0.19570642709732056
