cluster,count
-1,727326
13893,19309
13830,15341
13787,14565
13777,14229
13763,9665
13469,7655
13257,6329
13174,6286
12217,6151
13200,6124
13864,5998
9037,4186
13329,4148
13310,4063
13896,4046
635,3656
13922,3518
13344,2641
13831,2589
13462,2421
13916,2334
13178,2231
13408,2088
13262,2078
13467,2056
2893,1943
13141,1918
13898,1917
13019,1883
13282,1875
13364,1803
13179,1798
13191,1776
13507,1760
10763,1714
13418,1582
158,1570
13622,1474
13478,1443
13314,1399
13555,1343
13978,1322
13885,1293
12524,1264
12509,1145
13745,1054
13417,1040
13849,1034
12797,1006
13360,1003
13166,982
13302,977
8822,963
13017,950
13965,901
13648,900
13280,892
7642,887
12612,860
13528,844
13402,832
1842,778
13320,768
13172,763
13975,744
13675,744
13163,740
9126,716
13027,707
63,707
13226,704
13525,679
9326,673
2291,672
13749,628
102,595
6388,582
13292,570
6815,556
13999,544
13300,538
12346,524
570,524
13665,524
13187,513
6064,503
13406,490
6579,485
13372,485
11740,478
13261,475
13705,470
10814,468
13339,466
13658,462
13895,459
13317,456
13046,452
13315,448
13662,445
12292,443
13605,436
13024,435
6887,434
45,434
11027,429
12027,428
5132,426
13313,424
13502,423
9832,421
13250,418
11506,415
5215,410
316,410
12583,408
13844,408
13845,405
13269,404
10767,402
8800,399
10356,399
13327,390
11327,389
12269,385
12646,385
7970,383
8650,382
11131,381
13232,380
8804,376
11217,375
13342,375
13220,373
13286,371
13518,366
12180,362
13328,356
13894,354
13143,345
11804,344
11032,342
13028,340
10072,337
58,337
14019,334
5357,332
5339,332
364,332
6595,332
5032,331
13411,330
13663,323
13188,323
34,322
13967,312
13420,310
3048,309
4445,305
10470,300
11874,294
11377,294
11416,292
9366,291
9599,289
13075,288
13045,287
13236,286
8742,285
13110,284
13428,280
12095,276
9359,275
7681,275
7731,272
13108,272
6447,269
11588,268
2154,268
336,267
7914,265
6856,262
11778,260
13081,259
14076,257
13558,256
6223,256
13271,255
7250,254
7948,253
1530,252
7421,249
390,248
11847,248
13716,245
5538,238
9878,238
13568,237
13338,237
14150,237
5776,236
12116,235
2922,234
13258,233
7634,232
11441,229
13138,229
9361,229
10379,228
5009,228
7753,227
683,225
13251,225
12504,224
13569,223
8773,223
10477,221
13116,220
3701,220
13295,220
4993,219
12354,218
12710,216
10471,215
14014,214
8034,213
13243,213
4509,213
6336,210
7991,209
2877,208
9196,208
13715,205
3219,204
90,202
11531,200
13240,200
9111,200
8837,199
10012,198
11353,198
10348,198
11057,197
3389,197
11202,196
13461,196
7881,195
10446,195
11975,194
1438,193
13496,191
3119,191
10095,190
14082,189
11860,188
13472,187
13168,187
3649,187
3612,186
9507,186
13653,185
8088,185
6750,184
13230,184
7225,184
7262,183
5081,183
14055,182
12271,181
13341,181
12609,180
10475,179
1528,179
8998,179
3966,177
11508,177
12285,177
7552,176
13273,175
6127,175
911,175
7730,175
13527,173
7255,173
805,173
275,172
13779,172
8829,171
14094,171
9956,170
12294,170
2589,170
14,169
9826,169
12822,169
3005,169
11819,169
4571,169
618,168
8148,168
12498,168
5365,167
12,166
13306,166
4073,165
2656,164
6001,164
11428,164
9318,163
13433,163
11738,163
13102,162
13330,162
11230,162
758,162
13319,162
10369,162
9665,162
12172,161
2999,160
6524,159
8440,159
7659,159
9294,159
10354,159
8574,158
9843,158
8214,158
13393,158
11252,157
9452,156
70,156
12699,155
12300,155
7266,155
8291,154
6171,154
12997,153
4607,152
8025,151
6484,151
10481,151
6916,151
13066,151
37,151
9897,150
11771,150
2648,149
11158,149
9592,149
2613,149
9840,148
13218,147
13274,147
10442,147
13672,147
6170,147
9961,146
10454,146
9809,145
9658,145
13445,145
11640,145
3241,144
3016,144
12934,144
12993,144
13182,144
3411,144
11670,144
12556,143
11589,143
7512,142
13683,142
11008,142
9805,141
7144,140
10021,140
13980,140
3797,140
3080,137
9838,137
7218,137
123,137
11055,137
9776,137
4242,136
133,136
13132,136
11604,136
13325,136
2726,135
8141,135
13195,135
5758,134
3226,133
4872,133
2848,133
9988,133
12544,132
7045,132
3147,132
4806,132
7616,131
13184,131
7446,131
13065,131
1,131
13265,131
13796,131
7248,131
11077,130
5942,130
12958,129
9963,129
3620,128
10952,128
7212,128
12290,128
4671,128
9455,127
5667,127
11571,126
6165,126
6474,126
9141,126
13388,126
9405,126
6742,126
12620,126
13488,126
13725,125
13651,125
11491,125
4774,125
9869,125
11051,124
3648,124
6471,124
13542,124
9360,123
13783,123
12007,122
59,122
13607,122
7194,122
6487,122
12060,121
49,121
12743,121
11065,121
6709,121
1357,120
13092,120
12512,120
432,120
9264,120
9736,119
13238,119
13037,119
7214,118
13404,118
9055,118
13489,118
8354,118
11723,118
10801,118
4893,117
633,117
14010,117
13953,117
13252,117
10476,116
12226,116
13641,116
8403,116
13788,116
7153,116
13786,116
12246,115
10173,115
7662,115
7656,114
11162,114
13340,114
8409,114
6458,114
2577,114
10300,113
6634,113
11500,113
670,112
4736,112
12614,112
13005,112
10996,111
6306,111
8438,111
6341,111
7720,111
8592,111
12776,110
4735,110
6496,110
7299,110
5535,110
5552,110
6906,110
12186,110
10535,109
10076,109
8425,109
13414,108
13355,108
14072,108
8347,108
4126,108
8044,108
9673,108
7349,108
10385,107
13671,107
13684,107
775,107
3012,107
10045,107
2986,106
5251,106
8363,106
13160,106
12167,105
4441,105
696,105
5404,105
8412,105
11209,105
6449,105
5727,105
11140,104
10774,104
10681,104
13051,104
12170,104
13374,104
8367,104
13690,104
0,103
3477,103
1401,103
12996,103
10812,103
13058,103
7318,103
13399,102
13833,102
6943,102
8366,102
3640,102
7664,102
7409,102
8968,102
11026,102
11513,101
9028,101
9271,101
9051,101
7766,101
6344,101
12909,101
12293,101
5202,101
3783,101
10105,100
8338,100
6394,100
10,100
11628,100
10378,99
9991,99
12681,99
7009,99
6015,99
2564,99
10437,99
9424,98
12560,98
12119,98
1178,98
3372,98
10961,98
3795,98
